iter	Passed	Remaining
171	6131	29516
172	6166	29475
173	6201	29440
174	6237	29406
175	6271	29361
176	6302	29304
177	6325	29212
178	6364	29190
179	6401	29160
180	6437	29129
181	6471	29087
182	6503	29036
183	6537	28990
184	6568	28939
185	6606	28911
186	6641	28873
187	6671	28817
188	6708	28788
189	6744	28754
190	6761	28636
191	6784	28552
192	6805	28457
193	6829	28375
194	6852	28286
195	6873	28194
196	6901	28131
197	6937	28101
198	6972	28064
199	7008	28033
200	7040	27986
201	7074	27946
202	7108	27908
203	7145	27881
204	7186	27869
205	7225	27849
206	7262	27823
207	7291	27764
208	7323	27718
209	7356	27675
210	7390	27636
211	7424	27596
212	7459	27560
213	7493	27522
214	7528	27488
215	7561	27447
216	7594	27403
217	7634	27387
218	7671	27357
219	7709	27332
220	7743	27293
221	7777	27255
222	7811	27218
223	7843	27170
224	7876	27130
225	7904	27070
226	7937	27029
227	7974	27002
228	8009	26965
229	8043	26929
230	8078	26893
231	8126	26900
232	8162	26870
233	8200	26844
234	8239	26822
235	8269	26770
236	8287	26681
237	8329	26667
238	8362	26626
239	8394	26582
240	8428	26544
241	8461	26503
242	8492	26456
243	8525	26415
244	8564	26391
245	8599	26358
246	8637	26332
247	8672	26298
248	8709	26267
249	8744	26233
250	8778	26195
251	8812	26156
252	8845	26116
253	8880	26081
254	8920	26061
255	8956	26030
256	8988	25987
257	9023	25950
258	9056	25911
259	9096	25890
260	9129	25849
261	9168	25824
262	9194	25765
263	9233	25741
264	9266	25701
265	9298	25658
266	9334	25625
267	9369	25591
268	9403	25552
269	9443	25532
270	9480	25503
271	9515	25469
272	9540	25407
273	9575	25371
274	9609	25334
275	9644	25300
276	9679	25265
277	9717	25237
278	9755	25211
279	9790	25176
280	9823	25136
281	9861	25108
282	9898	25079
283	9935	25047
284	9968	25007
285	9997	24958
286	10028	24914
287	10064	24881
288	10101	24850
289	10139	24824
290	10175	24791
291	10225	24794
292	10259	24756
293	10293	24718
294	10317	24656
295	10361	24644
296	10401	24619
297	10428	24566
298	10461	24526
299	10494	24486
300	10531	24457
301	10568	24425
302	10606	24397
303	10641	24363
304	10674	24323
305	10707	24284
306	10739	24242
307	10774	24207
308	10811	24176
309	10846	24143
310	10884	24114
311	10914	24068
312	10948	24029
313	10983	23995
314	11016	23956
315	11049	23917
316	11089	23892
317	11122	23853
318	11155	23815
319	11191	23782
320	11223	23741
321	11261	23711
322	11293	23669
323	11324	23628
324	11359	23593
325	11398	23567
326	11434	23532
327	11472	23503
328	11509	23473
329	11545	23440
330	11580	23405
331	11612	23364
332	11644	23324
333	11681	23292
334	11717	23261
335	11752	23225
336	11790	23196
337	11827	23164
338	11863	23132
339	11899	23098
340	11937	23070
341	11977	23043
342	12014	23013
343	12052	22984
344	12093	22959
345	12127	22923
346	12165	22893
347	12199	22856
348	12232	22817
349	12272	22792
350	12309	22761
351	12342	22721
352	12378	22687
353	12416	22658
354	12448	22617
355	12485	22585
356	12524	22558
357	12567	22538
358	12612	22519
359	12643	22477
360	12676	22437
361	12714	22407
362	12745	22365
363	12781	22332
364	12816	22297
365	12845	22251
366	12879	22214
367	12914	22179
368	12945	22136
369	12977	22097
370	13016	22067
371	13048	22028
372	13085	21996
373	13120	21960
374	13154	21923
375	13190	21890
376	13224	21853
377	13261	21822
378	13296	21786
379	13334	21757
380	13367	21717
381	13399	21677
382	13431	21638
383	13467	21603
384	13501	21567
385	13536	21532
386	13567	21490
387	13603	21457
388	13638	21421
389	13670	21382
390	13709	21353
391	13741	21313
392	13775	21276
393	13803	21230
394	13838	21195
395	13873	21161
396	13907	21124
397	13939	21084
398	13973	21048
399	14005	21008
400	14040	20973
